Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,Team,Position,Circuit,Code
VER,1,1,0 days 00:01:39.019000,,0 days 00:00:42.414000,0 days 00:00:23.842000,SOFT,4,1,Red Bull Racing,1,Bahrain,BHR23
VER,1,2,0 days 00:01:37.974000,0 days 00:00:31.342000,0 days 00:00:42.504000,0 days 00:00:24.128000,SOFT,5,1,Red Bull Racing,1,Bahrain,BHR23
VER,1,3,0 days 00:01:38.006000,0 days 00:00:31.388000,0 days 00:00:42.469000,0 days 00:00:24.149000,SOFT,6,1,Red Bull Racing,1,Bahrain,BHR23
VER,1,4,0 days 00:01:37.976000,0 days 00:00:31.271000,0 days 00:00:42.642000,0 days 00:00:24.063000,SOFT,7,1,Red Bull Racing,1,Bahrain,BHR23
VER,1,5,0 days 00:01:38.035000,0 days 00:00:31.244000,0 days 00:00:42.724000,0 days 00:00:24.067000,SOFT,8,1,Red Bull Racing,1,Bahrain,BHR23
VER,1,6,0 days 00:01:37.986000,0 days 00:00:31.341000,0 days 00:00:42.632000,0 days 00:00:24.013000,SOFT,9,1,Red Bull Racing,1,Bahrain,BHR23
VER,1,7,0 days 00:01:38.021000,0 days 00:00:31.290000,0 days 00:00:42.763000,0 days 00:00:23.968000,SOFT,10,1,Red Bull Racing,1,Bahrain,BHR23
VER,1,8,0 days 00:01:38.154000,0 days 00:00:31.291000,0 days 00:00:42.833000,0 days 00:00:24.030000,SOFT,11,1,Red Bull Racing,1,Bahrain,BHR23
VER,1,9,0 days 00:01:38.278000,0 days 00:00:31.336000,0 days 00:00:42.823000,0 days 00:00:24.119000,SOFT,12,1,Red Bull Racing,1,Bahrain,BHR23
VER,1,10,0 days 00:01:38.369000,0 days 00:00:31.361000,0 days 00:00:42.884000,0 days 00:00:24.124000,SOFT,13,1,Red Bull Racing,1,Bahrain,BHR23
VER,1,11,0 days 00:01:38.483000,0 days 00:00:31.342000,0 days 00:00:42.978000,0 days 00:00:24.163000,SOFT,14,1,Red Bull Racing,1,Bahrain,BHR23
VER,1,12,0 days 00:01:38.591000,0 days 00:00:31.408000,0 days 00:00:42.951000,0 days 00:00:24.232000,SOFT,15,1,Red Bull Racing,1,Bahrain,BHR23
