Code,HARD,MEDIUM,SOFT,MaxTemperature,MinTemperature,AverageTemperature
BHR22,1,2,3,27,19,23
JED22,2,3,4,31,20,25.5
AUS22,2,3,5,25,15,20
MIA22,2,3,4,32,24,28
BAK22,3,4,5,30,21,25.5
CAN22,3,4,5,30,19,24.5
AUT22,3,4,5,22,13,17.5
HUN22,2,3,4,27,19,23
BEL22,2,3,4,25,17,21
NED22,1,2,3,23,15,19
ITA22,2,3,4,17,15,16
USA22,2,3,4,30,17,23.5
MEX22,2,3,4,25,11,18
BRA22,2,3,4,27,18,22.5
ADB22,3,4,5,31,21,26
BHR23,1,2,3,29,19,24
JED23,2,3,4,29,22,25.5
AUS23,2,3,4,19,10,14.5
BAK23,3,4,5,25,17,21
MIA23,2,3,4,30,24,27
CAN23,3,4,5,23,14,18.5
AUT23,3,4,5,25,13,19
HUN23,3,4,5,30,18,24
BEL23,2,3,4,17,12,14.5
ITA23,3,4,5,29,17,23
SIN23,3,4,5,32,26,29
QAT23,1,2,3,38,30,34
USA23,2,3,4,33,18,25.5
MEX23,3,4,5,26,12,19
BRA23,2,3,4,23,15,19
VEG23,3,4,5,21,11,16
ADB23,3,4,5,30,22,26
BHR24,1,2,3,23,16,19.5
JED24,2,3,4,28,22,25
AUS24,3,4,5,21,13,17
MIA24,2,3,4,27,23,25
AUT24,3,4,5,28,16,22
HUN24,3,4,5,33,21,27
BEL24,2,3,4,20,12,16
NED24,1,2,3,18,15,16.5
ITA24,3,4,5,32,23,27.5
BAK24,3,4,5,28,22,25
SIN24,3,4,5,32,27,29.5
USA24,2,3,4,28,18,23
MEX24,3,4,5,20,11,15.5
VEG24,3,4,5,22,11,16.5
QAT24,1,2,3,24,15,19.5
ADB24,3,4,5,29,21,25
BHR25,1,2,3,32,25,28.5
JED25,3,4,5,34,25,29.5
MIA25,3,4,5,30,22,26
CAN25,4,5,6,23,12,17.5
AUT25,3,4,5,30,15,22.5
HUN25,3,4,5,27,17,22
NED25,2,3,4,19,15,17
ITA25,3,4,5,27,17,22
BAK25,4,5,6,21,17,19
SIN25,3,4,5,33,27,30
USA25,1,3,4,32,22,27
MEX25,2,4,5,25,13,19
BRA25,2,3,4,19,13,16
VEG25,3,4,5,17,9,13
QAT25,1,2,3,28,19,23.5
ADB25,3,4,5,28,22,25
